asc_acc,asc_dec,beta_acc,beta_dec,alpha_acc,alpha_dec,gamma_acc,gamma_dec,lamda_acc,lamda_dec,sigma_acc,sigma_dec,sigma_nt,constant
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.015007653753848601,-0.007446241470836513,-0.03841595976722775,-0.05475566409377035,-0.047556050008245275,-0.015517312477773987,0.13676276877505233,0.04529688345259638,0.9627148149011536,0.25266233586944076,0.003551552159561339,-0.0035412370182109783,-0.03702093364574257,0.005775243855592999
-0.028985861754001425,-0.06679588006137206,0.07266291890634123,-0.4980792124358936,-0.12083708186926964,-0.14811709980997148,0.34829057634353355,0.434159293026016,0.9398906252638399,0.24666132455934076,-0.12708735477319355,-0.08650411937329716,-0.27961116001117514,0.017542755908013588
-0.012492186000885457,-0.06728172520192197,0.3038065151981321,-0.6376113040909653,-0.12444040982385653,-0.11549681639967581,0.3534080280494733,0.34124855468526405,0.9473693381649644,0.24862593786227388,-0.15958488468300655,0.11029400311263735,-0.5162076593799162,0.06745226556378964
-0.035387393075920405,-0.0930495569594913,0.4573017654015247,-0.7500182986894773,-0.19882689870358541,-0.02048640860562534,0.5762926803368776,0.0652183549965975,0.921565306628732,0.24185934990783556,-0.21045983844133426,0.3110074553252392,-1.1094396480519055,0.06505044816095114
-0.05086010340716677,-0.12042385678864305,0.5636677133374147,-0.7926899636848761,-0.21096195328449627,0.01602411037250407,0.6136456846811863,-0.04276523371749995,0.9192008050305347,0.24123994288310752,-0.18212408238949668,0.3335795265475845,-1.3859369521826022,-0.026373125197841712
-0.05482723577435689,-0.16858370303747755,0.6303704204585338,-0.786311009821656,-0.2084970444951358,0.030234061453005365,0.6085615328538436,-0.0899705109862725,0.921180567718163,0.24175791522040851,-0.15296408505859027,0.2878791280593755,-1.5491320760115452,0.019039689844435298
-0.06516160203505968,-0.21366227318105693,0.6809052765557558,-0.7292309587003852,-0.2075005968291332,0.0204563275479065,0.6126885326231752,-0.08682249301270817,0.9244591036534743,0.2426078898832871,-0.22907343841612335,0.2773144851421159,-1.586108608021931,0.008419965931128558
-0.11729530680945456,-0.3360064083070604,0.8122310646531136,-0.5891967812313701,-0.22579622826320858,-0.037615048047461894,0.7407682694983722,-0.031292533536935854,0.9147024367093117,0.23999845080142224,-0.17140113612810298,0.3340052681061778,-1.5888916092849443,-0.005016820732131971
-0.23471640915375513,-0.3717446937507816,0.9536036155720533,-0.5633492756324483,-0.23821823397146613,-0.05916044426205609,0.8646749080263516,-0.0860754056161204,0.9069461128966422,0.23790198368911297,-0.15906876716776022,0.2843662382930611,-1.5237103532091327,-0.0002078183054096171
-0.2889325894871504,-0.38203895130136145,0.9497525488831154,-0.5651346911939,-0.22088909883688937,-0.08161714292519534,0.8609387459090855,-0.09116312836977174,0.9070115223171995,0.23786801907567903,-0.1583901608499904,0.2935992925547103,-1.5259346783774936,0.0031000232590282003
-0.3137626918473877,-0.4320037724785661,0.9378825207656689,-0.5861690490180013,-0.18913738192752924,-0.1186695679313032,0.863201877902269,-0.1200601154260215,0.907050388992634,0.23777095255268477,-0.15974881459639392,0.3015364716944497,-1.516790127242791,0.0011004868520342885
-0.3003572186262259,-0.4117901735011259,0.9235182468317348,-0.6111755284169409,0.19919265832204383,-0.6915946475528602,0.9725964305750349,-0.32920726810409,0.9095949017488145,0.23702174449025834,-0.16772212687648347,0.29089446257061896,-1.53384094616961,0.0026892190813819425
-0.2984627293161956,-0.40732605750220835,0.9156250677027211,-0.6224026550947837,-0.009305992600271984,-0.8731043692647195,0.8986402608811779,-0.39031923909664934,0.9104936864004539,0.23194628179897006,-0.15899843905406358,0.270619290416099,-1.5441001242789907,0.0016396748430404196
-0.29398243204759494,-0.3883466095895659,0.9092048020172657,-0.6208876040404939,0.4126841681376995,-0.5555461114434804,1.0236861496307301,-0.25788967432604026,0.9157759701029983,0.22043010124231163,-0.16171159961007825,0.23320473474726328,-1.5753004309969785,-0.0005709199439725471
-0.2521074039868879,-0.3283340462031039,0.8702339180233029,-0.6224814243185789,0.29969115636415633,-0.6810685581851375,0.9613939707121333,-0.2727900835663114,0.9508179722240119,0.09012981140644388,-0.15982989778932946,0.14421666695528645,-1.6598308902732655,0.002203846784099326
-0.24707183282110734,-0.32111150253737736,0.8655462835803827,-0.6226675580831489,0.2861677454069806,-0.6960941173397532,0.9539240466569942,-0.2745577641052329,0.9696134799141354,0.018900130979661395,-0.15960050861679778,0.13351638011763756,-1.6700171935327264,0.0025346248211452426
-0.24654656090717614,-0.32049635332420734,0.8636085901871067,-0.623986104417026,0.2853450868694833,-0.6963478271342481,0.9523766953725216,-0.27575216410075665,0.9707165866809105,0.014761885257323665,-0.1593530356526346,0.13240920228532338,-1.673391916404795,0.00240128111029882
-0.22690948565357233,-0.2971740680299082,0.8147257462598924,-0.6466500596054638,0.2732171605324358,-0.6885348441618859,0.9175516290758857,-0.29114449960578587,0.9704402371145848,0.017096570128560327,-0.15299269091687276,0.10001309922485946,-1.7700277722241313,-0.001986115944425548
-0.13979261925940123,-0.20863390375139235,0.6832155913484161,-0.6828678360531102,0.21283568778912612,-0.6739630415236708,0.8219841432045063,-0.3029100510758321,0.9700634331270265,0.02252362397822591,-0.14812815101632246,0.005476122847037981,-1.9992613932846068,0.008413081511242444
-0.07289957500036057,-0.15455342477145992,0.7074013646259388,-0.6261495301807188,0.049350301157873894,-0.6029646983435998,0.8080652017855606,-0.24349481878811172,0.9658435862646472,0.02530604680147018,-0.1391884173945559,0.0024455933041743305,-2.086654872105303,-0.008809783245671245
-0.08536254978255503,-0.15042241569479908,0.7201352449425418,-0.6120026366424212,0.06205500059847663,-0.6322349396600373,0.824131053796509,-0.23451517250064724,0.9645437420526264,0.02703220499281565,-0.13587967934092404,0.0051783835056278555,-2.077816826621561,-0.001116449508081362
-0.08303289315565499,-0.14587905655956368,0.7267515310426522,-0.6021532743525989,0.10181992538728676,-0.6347578303126836,0.8489397806272008,-0.21328977099347024,0.9628167736466231,0.030299415893129428,-0.13511620341928912,0.0016102949119961778,-2.076022273943246,0.0016078865655762562
-0.09558508857202377,-0.15768881002301355,0.7359178862312428,-0.597829487025313,0.13986881403043158,-0.6653920568376019,0.8728845512524627,-0.20208640171489634,0.9609139658605538,0.0341377032472314,-0.13127379519130264,0.001070706342612545,-2.06202921618205,0.0019010927317724214
-0.09360106467907173,-0.15380365398644658,0.7354461103894829,-0.5972718710780369,0.154083610703642,-0.7116415808878417,0.877314859429375,-0.2032093971805137,0.9600183413369506,0.0377376063913553,-0.1301944842436274,-0.0019910598428396205,-2.0615986391247643,0.0013130500705834586
-0.09855709682114781,-0.1632044033127386,0.7336307010155598,-0.6006475846794208,0.1495301641875193,-0.7572063123289658,0.8710310984291068,-0.2120010357809492,0.9596848391851913,0.040532194435071695,-0.1312458375159659,0.00021202784955242715,-2.0574118901916316,0.0005207285258846861
-0.09617184220705458,-0.1589430244352697,0.732590112595421,-0.6021543711714051,0.13208079575336162,-0.7856147742608556,0.8606266126805363,-0.2180924370193196,0.9594459726626366,0.043316977113243386,-0.13336791404126713,-0.0006170075609783272,-2.060173244887401,0.00033799221504030795
-0.09627738538861533,-0.1599330924116684,0.7321863644740348,-0.6030900487165053,0.1209811076208712,-0.7850396209870926,0.8551961496906977,-0.22068902042194463,0.9594923804786543,0.04380615992200874,-0.13463250306693447,-5.351941048715016e-05,-2.060619620784081,0.0004783119770944736
-0.09538818249667502,-0.15866653451611723,0.7332221391502672,-0.601568710701866,0.11141663796260227,-0.7778750544486298,0.8522756468583123,-0.2200853752717524,0.9591686586873557,0.04515743833229338,-0.13538374416815846,-0.0009045771769703405,-2.062446281510662,0.000732369022708672
-0.09523917646219242,-0.15825332631326477,0.7338007515953889,-0.5998992309557919,0.11272027387096627,-0.7736559769633636,0.8538648349884286,-0.21891891839106972,0.9587742046058293,0.046314594081447065,-0.13515170758779077,-0.0016875313230801379,-2.0624261620279927,0.0007951751731405753
-0.09493401347364042,-0.15751948960369277,0.7347518810223244,-0.5968488003950242,0.1176540113335887,-0.7733382019190514,0.8574324764343175,-0.21773783706722774,0.9578720572612535,0.04917201175511736,-0.134382561656178,-0.0032590636909432787,-2.062342595022297,0.0007764335076199774
-0.09499123701956778,-0.15739040182912392,0.7347373372922463,-0.5962805630168652,0.12147649422271566,-0.7788137689151511,0.8591072073362108,-0.21860861284181385,0.9574533629862454,0.0506054410216123,-0.13395676533483072,-0.003728626820382056,-2.062028695772857,0.0006812730414470439
-0.09490983743989466,-0.15720078186241687,0.7349223314406551,-0.5955214561346489,0.12394414347528164,-0.7840514361890762,0.8603559728297389,-0.21930382937434895,0.9569491364410087,0.05239440175258775,-0.13364358287531344,-0.004266903494421547,-2.06198277170976,0.000606959485987535
-0.09485096781062491,-0.15718450163947928,0.7348723236105746,-0.5958106362038865,0.12334791176423802,-0.7849806943091132,0.8599961904259242,-0.21948247968856677,0.9568858349593745,0.052686897080543166,-0.13370090423572975,-0.0041430560703231865,-2.0621064622011818,0.000598748387954478
-0.09475580010700599,-0.15716387329579545,0.7349001031617702,-0.5960955797829092,0.12326280389334147,-0.785380190235586,0.8598765462764939,-0.2194477453119757,0.9568236210262372,0.0529612023905909,-0.13380392851150125,-0.003981586750425228,-2.0623880458149797,0.0006110489385087621
-0.09474139360496356,-0.15713045277001897,0.734924016532445,-0.596115363550381,0.12258930164573764,-0.7853027536769093,0.859681105131901,-0.21941074033844962,0.9568163407436904,0.05297600989641646,-0.1338229794815438,-0.003958189345605188,-2.062428128265575,0.0006203451173178878
-0.094704580961485,-0.1570986005089664,0.7349487392445028,-0.5960942429469315,0.12218984835643286,-0.7854902436260592,0.8595856605658799,-0.21946295171567834,0.9568071374495876,0.05299797087384387,-0.13382128071767224,-0.003962062166080682,-2.062451186747026,0.0006247105457412948
-0.09470317530667303,-0.15709706829012024,0.7349512014638178,-0.5960915228464556,0.12216223501717562,-0.7855028891279265,0.8595799381534842,-0.21946470079823963,0.9568054565315116,0.053003189067032636,-0.13382104513314066,-0.003962979125880438,-2.062452769029654,0.0006250292494561649
-0.0947015035404978,-0.15709506783724456,0.7349552047951533,-0.5960872569497808,0.12215530512166496,-0.7855351926028505,0.8595830906400793,-0.21947212027431795,0.9568027327396429,0.05301199998696044,-0.13382072409562779,-0.003964997799883484,-2.062454146960807,0.0006255493065650843
-0.09470684496167171,-0.15710014143971474,0.734952121411954,-0.5960889092537766,0.12215349361667682,-0.7855580476346219,0.8595794604597338,-0.21948157169112661,0.956802765761821,0.05301236039481284,-0.1338207064147278,-0.0039650794555075655,-2.062451668744971,0.0006254937918517725
-0.09471226424551965,-0.15710587869907672,0.7349507757308337,-0.5960896563007972,0.12215840233616497,-0.7855594104302481,0.8595790196846499,-0.2194835556141607,0.9568030414199824,0.05301185880954967,-0.13382125462998762,-0.003965036406145096,-2.0624482526901056,0.0006253023628952739
-0.094721074722346,-0.15711499658409933,0.7349484771345229,-0.5960908016182457,0.12216740042000372,-0.7855560617609264,0.8595786107538127,-0.2194849544801767,0.9568035339641019,0.05301086251158415,-0.13382198098794307,-0.003964998480327445,-2.062442770384728,0.0006249966082728322
-0.09473609026746006,-0.15712538370488358,0.7349509224925503,-0.5960889394305581,0.12218242428736703,-0.7855556372924621,0.8595826950424912,-0.21948797165325964,0.9568041642059106,0.05300853769477158,-0.13381942802414176,-0.003967321554725383,-2.062443616605701,0.0006242824924175533
-0.0947296072036035,-0.157119718302725,0.7349465455456146,-0.5960849308560808,0.1221880665855561,-0.7855467881806718,0.8595803537308864,-0.21948655032934372,0.9568048759545935,0.05300743650421992,-0.13382012600132562,-0.003970349850749295,-2.062443687380973,0.0006237494307277684
-0.09472816743705484,-0.15712057933404858,0.7349434810556764,-0.5960858746138035,0.1221976402802477,-0.7855460390440155,0.8595806210887562,-0.21948763882150335,0.95680531598395,0.05300666413366614,-0.13382113873581733,-0.003970515150067126,-2.0624433085836382,0.0006237494060067321
-0.09472889724203436,-0.15712187696668087,0.7349437438036286,-0.5960865672604158,0.12219831360008689,-0.7855462703655736,0.8595810592611257,-0.21948829547130896,0.9568053633605783,0.053006440057033616,-0.13382116261781615,-0.0039700901150515255,-2.062441841285808,0.0006238104596197956
-0.09472925765192575,-0.1571229331746828,0.7349439630432899,-0.5960874756314571,0.12219855387395646,-0.7855468648285184,0.8595814086234335,-0.21948888531225502,0.9568053386168031,0.053006462098874496,-0.13382120944285544,-0.003969520731690942,-2.0624405110294783,0.0006239058943767432
-0.09472872994949108,-0.15712370485455177,0.7349443334006538,-0.5960878972318125,0.12219669655337702,-0.7855463458849655,0.8595814330100121,-0.21948904556810075,0.9568052658854217,0.053006565511187716,-0.13382123940209528,-0.003968693173247109,-2.0624391715282893,0.0006240937983477627
-0.0947288523012722,-0.1571248986687011,0.734945446634546,-0.5960873989296332,0.12219692237593134,-0.7855452140452787,0.8595828072253991,-0.2194887282469909,0.95680517174903,0.053006589028192275,-0.13382095883207024,-0.003968088572769355,-2.06243773847605,0.000624211849275294
-0.09473010682727098,-0.15712421367138546,0.734945772235071,-0.5960868630887427,0.12219951170906983,-0.7855453695520864,0.8595839854768162,-0.2194883360444234,0.9568051460719165,0.05300659173253701,-0.13382101621340917,-0.0039677499885215845,-2.0624370553481146,0.0006243510569572999
-0.09473094500340867,-0.15712390557696354,0.7349452609768591,-0.5960867366574735,0.1222021683459574,-0.7855436157609698,0.8595841282040859,-0.2194874279356944,0.9568051998399714,0.05300660731054758,-0.1338213595720995,-0.003967634997251128,-2.062437170731582,0.0006243764139327664
-0.0947307654870303,-0.15712283265999982,0.7349445962848618,-0.5960870787761448,0.1222052107091856,-0.7855423304871201,0.8595843131339318,-0.21948690718460379,0.9568052871765644,0.0530065400520819,-0.1338217114599711,-0.003967558499939861,-2.062437688834801,0.0006243945773491839
-0.09473066618213229,-0.15712202158266397,0.734943914600426,-0.5960884642195868,0.12220598743153205,-0.7855394298390779,0.859583727322447,-0.21948827676903337,0.956805355723417,0.053006540254751586,-0.13382150095241205,-0.003969133610889193,-2.062437702484888,0.0006243495430547476
-0.09473085675992743,-0.15712097249902313,0.7349424955817471,-0.5960908045772754,0.12220963114604731,-0.7855350798447155,0.8595833312086941,-0.21948913666792821,0.956805493259856,0.0530064813660959,-0.13382127241159686,-0.003969832808595415,-2.062436483922734,0.0006243779451629285
-0.09473126271658101,-0.15712037309211674,0.7349411884958337,-0.5960927751528694,0.12221431334276725,-0.7855302325193998,0.8595837134086234,-0.21948964080941666,0.9568055634618222,0.053006488206236234,-0.1338208286250224,-0.00397072701089444,-2.062435518975275,0.000624412476905389
-0.09473111378500036,-0.1571206904497343,0.7349412092897489,-0.5960928946410343,0.12221438786886142,-0.7855303845256394,0.8595838808458309,-0.21948925514719933,0.9568055487727474,0.0530064890828607,-0.13382084537273314,-0.003970440658415717,-2.0624353384793723,0.0006244119625655078
-0.09473069808578546,-0.1571211207561112,0.7349412340701141,-0.5960928509383174,0.12221444338592434,-0.7855310497508623,0.8595841556905077,-0.21948871291708566,0.9568055174519511,0.05300648160910595,-0.13382078067862255,-0.003969915268193711,-2.0624358244599974,0.0006244030671630836
-0.09472997322262107,-0.15712216929550007,0.7349407608942998,-0.5960933858418433,0.12221565089511296,-0.785531017886413,0.859584611419844,-0.21948810714939715,0.9568054882729908,0.05300646945051739,-0.1338205474272198,-0.0039690688466175565,-2.0624357737625973,0.0006244070276189787
-0.09472938453397303,-0.15712350424007454,0.7349398621741582,-0.596094959043273,0.12221564682203676,-0.7855309540894543,0.8595844504503227,-0.21948664238152357,0.9568054136759149,0.05300656626145667,-0.13381964511662142,-0.003968297316471668,-2.062435364366843,0.0006244337344909902
-0.0947290487459718,-0.1571234512548215,0.7349397119218961,-0.5960962660834975,0.12221736599758462,-0.7855302027304015,0.8595849831537898,-0.21948602344528184,0.9568054004192147,0.05300659456790213,-0.1338198045763266,-0.003967792684959025,-2.062435716127932,0.0006244102285377635
-0.09472904627658471,-0.1571233463593073,0.7349395861856819,-0.5960968834684518,0.12221956243394863,-0.7855298406154454,0.859585520051133,-0.21948568652892378,0.9568054139061255,0.05300660672080249,-0.13382000657833246,-0.003967368233877787,-2.0624358627166464,0.0006243906677068228
-0.09472913875412853,-0.15712343053435054,0.7349401215079341,-0.5960971011970382,0.12222118604496464,-0.7855290236522352,0.8595869825938554,-0.21948497333880584,0.9568053168845624,0.05300664556333799,-0.13381999850333665,-0.003967092445877189,-2.0624364190439306,0.0006243406650150549
-0.09472867024576392,-0.15712450153342586,0.7349400365298944,-0.5960984463910539,0.12222509804514148,-0.785527649971807,0.8595890143060342,-0.21948324527204405,0.9568052007021368,0.05300668601828694,-0.13381947814995532,-0.003965900983379407,-2.0624367491055424,0.0006242834537515234
-0.09472857890828154,-0.1571246801886033,0.7349400044025687,-0.5960987143515513,0.12222601529834487,-0.7855272734186164,0.8595894433874384,-0.21948287295707028,0.9568051799312992,0.053006692986202586,-0.1338194063197216,-0.003965697347725252,-2.06243688399121,0.0006242743730721209
-0.09472859173523308,-0.15712470577104967,0.7349401292290091,-0.5960987984424241,0.12222659026764109,-0.7855269484859974,0.8595897784680598,-0.21948274756188124,0.9568051665355713,0.053006697661052926,-0.13381934800272086,-0.003965616713403538,-2.0624369600477657,0.0006242775153030693
-0.09472857396666326,-0.157124729548867,0.7349401679866047,-0.5960986655671703,0.12222678889360905,-0.785526694469741,0.8595897372497217,-0.21948281536599212,0.9568051862707212,0.053006685570733056,-0.13381935233890005,-0.00396568121322224,-2.062436950713486,0.0006242931958984017
-0.09472848542571742,-0.1571247472352318,0.7349400493046949,-0.5960982950390507,0.12222697432164617,-0.7855263268825713,0.8595895820540076,-0.21948306054524963,0.9568052188274442,0.05300665338487633,-0.13381938355867418,-0.003965807883151885,-2.062436963334913,0.0006243242055903878
-0.09472835007255744,-0.15712487575018494,0.7349398870532055,-0.5960976983918341,0.12222751466280934,-0.7855256445944642,0.8595894798879764,-0.21948341654695228,0.9568052649091832,0.053006600952389044,-0.1338194177544986,-0.00396593608442866,-2.062436953643722,0.000624361427287298
-0.09472805881816761,-0.15712502694437108,0.7349396110053772,-0.5960968748955439,0.12222849223932149,-0.7855244462794723,0.8595893743265237,-0.21948378956207634,0.9568053310944675,0.05300652417241954,-0.13381938380997785,-0.0039661701963388,-2.0624370757052533,0.0006244158892440838
-0.09472812056328303,-0.1571250217506157,0.734939468435658,-0.596096537633007,0.12222864577275042,-0.7855241861726072,0.8595892657968482,-0.2194838306173527,0.9568053504280671,0.05300649737671409,-0.13381930309319776,-0.003966314388298848,-2.0624370177713285,0.0006244224711726801
-0.09472814518385315,-0.1571250400809229,0.7349394504177827,-0.5960964168301386,0.12222878273098682,-0.7855241568651546,0.8595892238534573,-0.2194837951605989,0.9568053614906789,0.05300649255708461,-0.1338193007029585,-0.003966292315148601,-2.0624369937722156,0.0006244201202183441
-0.09472816107236942,-0.1571250192284671,0.7349394498970588,-0.5960963686132027,0.12222883128684697,-0.7855241632322386,0.8595892023918604,-0.219483776144527,0.956805366196475,0.053006492329567334,-0.13381931366937108,-0.003966286685740828,-2.0624369979157464,0.0006244162019933305
-0.0947283125176412,-0.1571249085387062,0.7349393926080995,-0.596096035432027,0.12222928503731574,-0.785524155480525,0.8595890752914573,-0.21948358006606516,0.956805393383055,0.05300650375234891,-0.1338193289055854,-0.003966202253940491,-2.0624369552460116,0.0006243404856829174
-0.0947284016532364,-0.15712491544555152,0.7349393521601993,-0.5960961944101025,0.1222294565550224,-0.7855241900301083,0.8595891114071176,-0.2194834186168242,0.9568053953261599,0.0530065003372014,-0.1338193678092147,-0.003966265716284933,-2.0624368012252257,0.0006243311775778972
-0.09472904261521961,-0.15712481011960222,0.7349389954360037,-0.5960969292499646,0.12223142573686764,-0.7855241011042019,0.8595893614652754,-0.21948215886160785,0.9568054436835365,0.053006459690357235,-0.13381973527542834,-0.003966691115236288,-2.0624357982074564,0.000624270341959023
-0.09472908981876565,-0.1571247681426661,0.7349389609340753,-0.5960969021702641,0.12223146514806657,-0.7855239692702177,0.8595893111587731,-0.2194821318461635,0.9568054472017129,0.05300646673779371,-0.13381973997859065,-0.00396671434954792,-2.0624357948889465,0.000624292935169838
-0.09472904394195075,-0.15712473324661724,0.7349389358005113,-0.5960968112498218,0.12223139185192018,-0.7855237804940346,0.85958925907917,-0.21948226513518693,0.9568054450901048,0.05300648127663984,-0.13381974056876184,-0.0039666744210975526,-2.0624359082018198,0.0006243202342407409
-0.09472910119310697,-0.15712465131602887,0.7349388660529754,-0.596096734258945,0.12223135991141902,-0.7855235385717029,0.8595891797447669,-0.2194823477743236,0.9568054380056723,0.05300651676682307,-0.1338197514871111,-0.003966537198065379,-2.0624360229580296,0.0006243636344874586
-0.09472918899124597,-0.15712472681478165,0.7349387914674813,-0.5960967845438022,0.12223185086457586,-0.7855233117377334,0.8595892908939343,-0.21948216238252394,0.9568054446465882,0.053006521467434335,-0.13381994322823576,-0.0039667127829869095,-2.06243581971064,0.0006244130607686746
-0.09472929651555438,-0.1571247857097929,0.7349386765727471,-0.5960968590865301,0.12223247876468331,-0.7855229776061681,0.8595894180461487,-0.21948193745574093,0.9568054540942263,0.05300652526810021,-0.13382017779088232,-0.003966923063472996,-2.06243557946479,0.0006244662853197692
-0.09472941258399593,-0.15712484554912326,0.7349385589840105,-0.5960969265802609,0.12223314296823776,-0.7855226932369902,0.859589515772397,-0.2194817090727852,0.956805468869624,0.05300652704268959,-0.13382039987018887,-0.003967133503892433,-2.0624353099111086,0.0006245018710196668
-0.09472946713638383,-0.15712486260942513,0.7349385073500144,-0.5960968468288282,0.12223334818335105,-0.7855226110660888,0.8595895283827134,-0.21948168129059076,0.9568054749475514,0.05300652707034001,-0.1338204651394635,-0.003967192572799221,-2.062435236435967,0.0006245055046195314
-0.09472949692361396,-0.15712486978478807,0.7349384750256138,-0.5960966805563839,0.12223342838930064,-0.7855225242361726,0.8595894933997391,-0.21948173043249608,0.9568054834761975,0.05300652359336432,-0.13382050420855424,-0.003967254753502093,-2.062435214649997,0.0006244791047145089
-0.09472954689951502,-0.1571248838893193,0.734938421457075,-0.5960963749211453,0.12223354784951251,-0.7855223704488887,0.8595894257881767,-0.21948185119740965,0.9568054982351928,0.053006517445940995,-0.13382056306118964,-0.003967355047770345,-2.0624351920432393,0.0006244335167586005
-0.09472963962247942,-0.15712490735883874,0.7349383272648589,-0.5960959174496041,0.1222337824291657,-0.7855220876774209,0.8595893287844399,-0.219482033295926,0.9568055217747895,0.05300650831182322,-0.13382067137312326,-0.003967513023297266,-2.0624351361170787,0.0006243664091763068
-0.09472977929706373,-0.1571249152296633,0.7349382671758661,-0.596095507152798,0.12223417822891544,-0.7855217914876003,0.8595891836413934,-0.21948214202242494,0.9568055579209154,0.05300649982873632,-0.1338207627829294,-0.003967741574868508,-2.0624351020661007,0.0006243275374353505
-0.09472977948073336,-0.15712491524845815,0.7349382670541882,-0.5960955065064384,0.12223417884637973,-0.7855217909715996,0.8595891834613744,-0.21948214227397833,0.9568055579734708,0.05300649980956609,-0.1338207629503358,-0.003967741951158817,-2.0624351019878113,0.0006243274728920155
-0.09472977948310403,-0.15712491524621264,0.7349382670538512,-0.5960955065015651,0.12223417884769014,-0.7855217909655158,0.8595891834581152,-0.21948214227967847,0.9568055579739637,0.053006499809169404,-0.13382076295005546,-0.003967741949837371,-2.0624351019902174,0.000624327471773694
-0.0947297794832454,-0.15712491524611477,0.7349382670538257,-0.596095506501412,0.12223417884778953,-0.785521790965215,0.8595891834579744,-0.2194821422798717,0.9568055579739854,0.05300649980915378,-0.13382076295005363,-0.003967741949817589,-2.062435101990309,0.0006243274717436668
